FILE,Z_QSO,N_ABS,N_DLA
output/abs_templates/PAQS_absorber_000001.fits,2.784925536851386,8,1
output/abs_templates/PAQS_absorber_000002.fits,3.0582569379273212,4,0
output/abs_templates/PAQS_absorber_000003.fits,2.3106556860524847,3,0
output/abs_templates/PAQS_absorber_000004.fits,2.2728953432702723,4,0
output/abs_templates/PAQS_absorber_000005.fits,3.9734595311916774,11,2
output/abs_templates/PAQS_absorber_000006.fits,2.6296407185489064,10,0
output/abs_templates/PAQS_absorber_000007.fits,3.7454813595706615,11,0
output/abs_templates/PAQS_absorber_000008.fits,2.214031249623093,9,0
output/abs_templates/PAQS_absorber_000009.fits,2.469369768568403,9,0
output/abs_templates/PAQS_absorber_000010.fits,3.64916032412171,11,1
output/abs_templates/PAQS_absorber_000011.fits,3.7687209387387455,14,1
output/abs_templates/PAQS_absorber_000012.fits,3.070518487003281,5,0
output/abs_templates/PAQS_absorber_000013.fits,2.982866748428112,5,1
output/abs_templates/PAQS_absorber_000014.fits,3.9625288985440132,12,1
output/abs_templates/PAQS_absorber_000015.fits,3.8133342463074174,17,0
output/abs_templates/PAQS_absorber_000016.fits,2.9671260645647215,6,0
output/abs_templates/PAQS_absorber_000017.fits,2.036376238548991,1,0
output/abs_templates/PAQS_absorber_000018.fits,3.891521880584171,13,3
output/abs_templates/PAQS_absorber_000019.fits,3.0262169731846345,11,2
output/abs_templates/PAQS_absorber_000020.fits,2.778680303069889,4,0
output/abs_templates/PAQS_absorber_000021.fits,2.775899162256401,5,0
output/abs_templates/PAQS_absorber_000022.fits,3.820547513092749,13,1
output/abs_templates/PAQS_absorber_000023.fits,3.4230452456253833,7,0
output/abs_templates/PAQS_absorber_000024.fits,3.263324707710038,8,2
output/abs_templates/PAQS_absorber_000025.fits,3.5481851713383876,11,0
output/abs_templates/PAQS_absorber_000026.fits,2.1100848577812314,0,0
output/abs_templates/PAQS_absorber_000027.fits,2.4213276204678484,6,0
output/abs_templates/PAQS_absorber_000028.fits,2.9338264275518857,8,0
output/abs_templates/PAQS_absorber_000029.fits,3.156159423746926,4,0
output/abs_templates/PAQS_absorber_000030.fits,3.7671480654631724,8,2
output/abs_templates/PAQS_absorber_000031.fits,2.4336080766465567,2,0
output/abs_templates/PAQS_absorber_000032.fits,2.5972351163928735,5,1
output/abs_templates/PAQS_absorber_000033.fits,2.124782938329548,5,0
output/abs_templates/PAQS_absorber_000034.fits,2.621233141176777,2,1
output/abs_templates/PAQS_absorber_000035.fits,3.9226658061959623,11,1
output/abs_templates/PAQS_absorber_000036.fits,3.14306269928961,11,2
output/abs_templates/PAQS_absorber_000037.fits,3.4902976127574217,14,3
output/abs_templates/PAQS_absorber_000038.fits,2.1000543216061462,4,0
output/abs_templates/PAQS_absorber_000039.fits,2.1706518700089577,0,0
output/abs_templates/PAQS_absorber_000040.fits,3.196543760086989,8,0
output/abs_templates/PAQS_absorber_000041.fits,3.129371747359823,10,1
output/abs_templates/PAQS_absorber_000042.fits,2.336739202245372,4,0
output/abs_templates/PAQS_absorber_000043.fits,2.551645084013506,5,1
output/abs_templates/PAQS_absorber_000044.fits,3.4478398201117395,9,0
output/abs_templates/PAQS_absorber_000045.fits,3.148676987467785,5,1
output/abs_templates/PAQS_absorber_000046.fits,2.2062097388654163,7,0
output/abs_templates/PAQS_absorber_000047.fits,2.9916252047071845,7,0
output/abs_templates/PAQS_absorber_000048.fits,2.598348096359718,9,0
output/abs_templates/PAQS_absorber_000049.fits,2.7194432518383937,4,1
output/abs_templates/PAQS_absorber_000050.fits,3.726203686566043,13,0
output/abs_templates/PAQS_absorber_000051.fits,3.7335810992925245,10,0
output/abs_templates/PAQS_absorber_000052.fits,3.1726033472614517,9,1
output/abs_templates/PAQS_absorber_000053.fits,2.625351963776873,1,0
output/abs_templates/PAQS_absorber_000054.fits,2.538242113412793,5,1
output/abs_templates/PAQS_absorber_000055.fits,2.755759159527565,5,0
output/abs_templates/PAQS_absorber_000056.fits,3.5925432618932223,10,2
output/abs_templates/PAQS_absorber_000057.fits,3.714905087531858,12,2
output/abs_templates/PAQS_absorber_000058.fits,3.016608280939465,7,0
output/abs_templates/PAQS_absorber_000059.fits,2.8677460119763705,6,1
output/abs_templates/PAQS_absorber_000060.fits,2.2143741785432045,4,0
output/abs_templates/PAQS_absorber_000061.fits,3.666029070939389,12,2
output/abs_templates/PAQS_absorber_000062.fits,3.801581748233823,16,1
output/abs_templates/PAQS_absorber_000063.fits,3.378648496911672,13,0
output/abs_templates/PAQS_absorber_000064.fits,3.1441608196542288,6,0
output/abs_templates/PAQS_absorber_000065.fits,3.633508974992065,14,0
output/abs_templates/PAQS_absorber_000066.fits,2.828142138503501,2,0
output/abs_templates/PAQS_absorber_000067.fits,2.0137952546405193,2,0
output/abs_templates/PAQS_absorber_000068.fits,3.792798995038451,13,0
output/abs_templates/PAQS_absorber_000069.fits,2.5441712125747156,10,0
output/abs_templates/PAQS_absorber_000070.fits,2.6042714517020418,5,0
output/abs_templates/PAQS_absorber_000071.fits,3.090428754475691,10,0
output/abs_templates/PAQS_absorber_000072.fits,3.83551690256206,11,1
output/abs_templates/PAQS_absorber_000073.fits,2.5732036715775775,7,0
output/abs_templates/PAQS_absorber_000074.fits,2.6445617162514856,4,0
output/abs_templates/PAQS_absorber_000075.fits,3.530747982081996,9,0
output/abs_templates/PAQS_absorber_000076.fits,3.3364636579628675,6,0
output/abs_templates/PAQS_absorber_000077.fits,3.6938853347944893,14,2
output/abs_templates/PAQS_absorber_000078.fits,3.1009225554412794,8,1
output/abs_templates/PAQS_absorber_000079.fits,2.8612587384927735,3,1
output/abs_templates/PAQS_absorber_000080.fits,2.036877844474274,5,0
output/abs_templates/PAQS_absorber_000081.fits,3.139757439972699,8,0
output/abs_templates/PAQS_absorber_000082.fits,3.7363807290856705,12,1
output/abs_templates/PAQS_absorber_000083.fits,2.059439332131864,3,0
output/abs_templates/PAQS_absorber_000084.fits,2.472684370292899,4,0
output/abs_templates/PAQS_absorber_000085.fits,2.4412040288224293,6,1
output/abs_templates/PAQS_absorber_000086.fits,2.9382138283926444,14,0
output/abs_templates/PAQS_absorber_000087.fits,3.216865973537071,16,0
output/abs_templates/PAQS_absorber_000088.fits,2.268206782268306,6,0
output/abs_templates/PAQS_absorber_000089.fits,3.15929501187491,14,4
output/abs_templates/PAQS_absorber_000090.fits,3.629657249570422,8,0
output/abs_templates/PAQS_absorber_000091.fits,2.456282863305699,6,0
output/abs_templates/PAQS_absorber_000092.fits,2.7657462557241086,3,0
output/abs_templates/PAQS_absorber_000093.fits,3.6858992662660452,15,2
output/abs_templates/PAQS_absorber_000094.fits,2.1489458923109925,1,0
output/abs_templates/PAQS_absorber_000095.fits,2.7663744524629346,5,0
output/abs_templates/PAQS_absorber_000096.fits,3.0147176626707965,7,1
output/abs_templates/PAQS_absorber_000097.fits,3.021360705147968,4,0
output/abs_templates/PAQS_absorber_000098.fits,3.7419881120097807,8,0
output/abs_templates/PAQS_absorber_000099.fits,3.319343494617218,6,2
output/abs_templates/PAQS_absorber_000100.fits,2.0124894896873213,4,0
output/abs_templates/PAQS_absorber_000101.fits,2.772859639500041,4,0
output/abs_templates/PAQS_absorber_000102.fits,3.0312128674905354,5,1
output/abs_templates/PAQS_absorber_000103.fits,3.176625126737429,7,0
output/abs_templates/PAQS_absorber_000104.fits,3.3500567234321874,10,0
output/abs_templates/PAQS_absorber_000105.fits,3.1535729246909163,10,3
output/abs_templates/PAQS_absorber_000106.fits,2.883044548398718,13,1
output/abs_templates/PAQS_absorber_000107.fits,3.5098694927536314,8,2
output/abs_templates/PAQS_absorber_000108.fits,3.09067639842325,7,1
output/abs_templates/PAQS_absorber_000109.fits,2.0292079907904856,1,0
output/abs_templates/PAQS_absorber_000110.fits,3.417563188361174,7,1
output/abs_templates/PAQS_absorber_000111.fits,2.4728379887667,1,1
output/abs_templates/PAQS_absorber_000112.fits,3.5812090772533054,10,2
output/abs_templates/PAQS_absorber_000113.fits,3.172895631354804,15,2
output/abs_templates/PAQS_absorber_000114.fits,2.9997230913907185,10,2
output/abs_templates/PAQS_absorber_000115.fits,3.6903456832357064,7,0
output/abs_templates/PAQS_absorber_000116.fits,2.315706765767211,1,0
output/abs_templates/PAQS_absorber_000117.fits,2.5750016883562097,7,0
output/abs_templates/PAQS_absorber_000118.fits,3.635818248142014,7,0
output/abs_templates/PAQS_absorber_000119.fits,2.184389802773741,5,0
output/abs_templates/PAQS_absorber_000120.fits,2.9367432251216883,7,0
output/abs_templates/PAQS_absorber_000121.fits,2.736175138534006,9,0
output/abs_templates/PAQS_absorber_000122.fits,2.333324520319404,5,1
output/abs_templates/PAQS_absorber_000123.fits,3.8882346521097695,8,0
